brand,condition,description,expiration_date,id,image_link,isbn,link,price,product_type,title,upc,color,c:department,material,size,c:style,payment_accepted,payment_notes,pickup,price_type,pattern,age group,gender,item group id,availability,mpn,Google product category,c:keywords1,c:keywords2,c:keywords3,c:keywords4,c:keywords5,c:features1,c:features2,c:features3,c:features4,c:features5,c:material,c:length,c:width,c:height,c:depth,c:weight,adwords_grouping,adwords_labels,adwords_redirect,c:size,manufacturer,shipping,c:color_and_finish,additional_image_link,c:bullett_point1,c:bullett_point2,c:bullett_point3,c:bullett_point4,c:bullett_point5,c:product_ads_category,c:product_ads_exclude,custom_label_0,custom_label_1,custom_label_2,c:product_ads_sku_bid,custom_label_3,c:full_price,c:swatch_tag,c:sale_flag,c:availability_flag,c:web_category,c:compositions,c:color_family,c:room,c:sli_color,c:tag_image,c:models.part_num
Zuri Furniture,New,The Ambrosia contemporary outdoor Bar Set will instantly make your patio the designated spot for gatherings. Impress your guests with a beautiful outdoor setting that is built to withstand all weather.,,3,http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_9.jpg,,http://www.zurifurniture.com/outdoor/ambrosia-bar,2246,Furniture > Outdoor Furniture > Outdoor Seating,Ambrosia Outdoor High Top Glass Bar Table and Six Stools,7.27909E+11,,OutdoorLiving,Ceramic,,Contemporary,,,,,,,,,in stock,7.27909E+11,Furniture > Outdoor Furniture > Outdoor Seating,"modern, contemporary, mid-century, unique","outdoor bar, wicker, fabric, white fabric","bar set, weather resistant",,,,,,,,,79,89,44,79,,,Ambrosia Bar,,,Zuri Furniture,US:::0.00 USD,"Fabric, Iron, Wicker","http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_11.jpg,http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_7.jpg,http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_8.jpg,http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_6.jpg,http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_5.jpg,http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_3.jpg,http://www.zurifurniture.com/common/images/products/large/ambrosia_barand6stools_10.jpg","Bar: L 79"" x W 89.25"" x H 44""","Stools: D 14.5"" x W 14.5"" x H 33""",Black Wicker / White Cushion,,,13981271,,Outdoor Furniture,Special Order,available for order,0.8,Furniture > Outdoor Furniture > Outdoor Seating,2495,,,,2433|115|116|139|2437|2450,"Fabric, Iron, Wicker",Grey,Outdoor,Grey,common/images/products/large/ambrosia_barand6stools_9.jpg,08-003 / 48-014
Zuri Furniture,New,"The Selena outdoor group is tailored to suit the most exquisite patios. This fine collection of pieces will enhance your outdoor space and tranquility will be yours! The beautiful Selena ships with one three seater sofa, two reclining chairs with ottomans, and one coffee table. Weather resistant pillows and cushions included.",,5,http://www.zurifurniture.com/common/images/products/large/selena_5pieceoutdoorset_2.jpg,,http://www.zurifurniture.com/outdoor/selena-outdoor-set,3776,Furniture > Outdoor Furniture > Outdoor Seating,Selena Full Modern Outdoor Patio Set - Black Wicker,7.27909E+11,,OutdoorLiving,Ceramic,,Contemporary,,,,,,,,,in stock,7.27909E+11,Furniture > Outdoor Furniture > Outdoor Seating,"modern, contemporary, mid-century, unique",,,,,,,,,,,40,81.5,37,40,,,Selena Outdoor Set,,,Zuri Furniture,US:::0.00 USD,Wicker,http://www.zurifurniture.com/common/images/products/large/selena_5pieceoutdoorset_1.jpg,"Recliners: W 35"" x D 24.5"" x H 36.5""","Sofa: W 81.5"" x D 30"" x H 37""","Coffee Table: L 47.25"" x W 24"" x H 16.5""","Ottoman: W 27.5"" x D 19.25"" x H 16""",Black Wicker / Black Cushion / White & Taupe Pillows,13981281,,Outdoor Furniture,Special Order,available for order,0.8,Furniture > Outdoor Furniture > Outdoor Seating,4195,,,,115|139|117|2434|2437|2450,Wicker,Black,Outdoor,Black,common/images/products/large/selena_5pieceoutdoorset_2.jpg,33-014 / 36-014 / 12-014
Zuri Furniture,New,"Our dark walnut finished 70-inch Quincy executive desk offers a classic and versatile design that will complement any office decor. The desk features a break front modesty panel with small chrome accents, an elite built-in leather desk blotter and sleek pencil drawer. It is the ultimate answer to versatility as it comes complete with large desktop area plus a rolling return with two drawers, open computer tower storage, keyboard tray and door with hidden shelving storage. To top it all off is the mobile pedestal with 2 lockable drawers including one for both letter and legal files. Perfect for keeping your work environment looking sophisticated and organized.Desktop Thickness: 4"" Keyboard Tray Width: 19""",,18,http://www.zurifurniture.com/common/images/products/large/quincy_desk_darkwalnut_1.jpg,,http://www.zurifurniture.com/office/quincy-desk,1652,Furniture > Office Furniture > Desks,Quincy Modern Wood Desk with Rolling Return and File Cabinet,7.27909E+11,,OfficeProducts,Wood,,Contemporary,,,,,,,,,in stock,7.27909E+11,Furniture > Office Furniture > Desks,"modern, contemporary, mid-century, unique","3-piece, L-desk, 71-inch, storage","woodgrain, computer desk, executive desk","with drawer, large size, modern desk",walnut finish,,,,,,,71,30,35,,,,Quincy Desk with Return - Dark Walnut,,,Zuri Furniture,US:::0.00 USD,"Wood, Veneer","http://www.zurifurniture.com/common/images/products/large/quincy_desk_darkwalnut_2.jpg,http://www.zurifurniture.com/common/images/products/large/quincy_desk_darkwalnut_4.jpg,http://www.zurifurniture.com/common/images/products/large/quincy_desk_darkwalnut_5.jpg,http://www.zurifurniture.com/common/images/products/large/quincy_desk_darkwalnut_6.jpg,http://www.zurifurniture.com/common/images/products/large/quincy_desk_darkwalnut_7.jpg,http://www.zurifurniture.com/common/images/products/large/quincy_desk_darkwalnut_8.jpg,http://www.zurifurniture.com/common/images/products/large/quincy_desk_dimension_zuri_new.jpg","Desk: W 70"" x D 34"" x H 30"" <br>Return: W 47"" x D 16"" x H 26"" <br>Mobile Pedestal: W 16"" x D 21"" x H 26""",Smooth Dark Walnut Veneer Finish,"Pencil Drawer, Leather Writing Pad and Wire Management Ports on Main Desk",Keyboard Tray and CPU Tower Storage on Return,1 Drawer of Letter and Legal Filing in Mobile Pedestal,12900761,,Desks,Stocked,in stock,12,Furniture > Office Furniture > Desks,1835,,,,121|90|95|119|3047|2355|2356|2354|2360|2390|3070|2359,"Wood, Veneer",Brown,"Office,Home Office",Brown,common/images/products/large/quincy_desk_dimension_zuri_new.jpg,M620
Zuri Furniture,New,"You will feel like a boss with the Pierce statement desk. With a three inch desktop, mahogany stained American Oak finish, and silver accent details, style will exude from your office. The Pierce desk also includes a small sliding pencil drawer inside the desktop, a leather writing pad, and two port holes for monitor and phone cables. The return features a 20.5"" keyboard tray and CPU storage. As an added bonus, the Pierce ships with a matching rolling locking filing cabinet with 2 storage drawers for ultimate flexibility in setup.Writing Pad Width: 28"" Rolling Filing Cabinet: 23.75"" High x 16"" Wide x 19.75"" DeepDesktop Thickness: 3"" Keyboard Tray Width: 20.5""",,19c5,http://www.zurifurniture.com/common/images/products/large/pierce_leftreturn_1.jpg,,http://www.zurifurniture.com/office/pierce-desk,2048,Furniture > Office Furniture > Desks,Pierce Polished Mahogany Modern Desk with Storage - Left Return,7.00118E+11,,OfficeProducts,Wood,Left Return,Contemporary,,,,,,,,19,in stock,7.00118E+11,Furniture > Office Furniture > Desks,"modern, contemporary, mid-century, unique",,,,,,,,,,,71,36,30,71,451,,Pierce Desk - Mahogany,,,Zuri Furniture,US:::0.00 USD,"Wood, Veneer","http://www.zurifurniture.com/common/images/products/large/pierce_leftreturn_2.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_leftreturn_3.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_leftreturn_4.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_leftreturn_5.jpg,http://www.zurifurniture.com/common/images/products/large/pierce-polished-mahogany-modern-desk-with-storage-left-return-zuri-1.jpg,http://www.zurifurniture.com/common/images/products/large/pierce-polished-mahogany-modern-desk-with-storage-left-return-zuri-2.jpg,http://www.zurifurniture.com/common/images/products/thumb/pierce-polished-mahogany-modern-desk-with-storage-left-return-zuri-002.jpg","Overall: W 70.75"" x D 82.5"" x H 29.5""","Rolling Filing Cabinet: W 16"" x D 19.75"" x H 23.75""",Mahogany Stained American Oak Veneer,"Pencil Drawer, Leather Writing Pad and Wire Management Ports on Main Desk",Keyboard Tray and CPU Tower Storage on Return,12900761,,Desks,Stocked,in stock,11,Furniture > Office Furniture > Desks,2275,,,,124|95|119|2356|3050|90|2355|2360|2390|3070|2359,"Wood, Veneer",Red,"Office,Home Office",Red,common/images/products/large/pierce_desk_dimension_zuri_new.jpg,M627
Zuri Furniture,New,"You will feel like a boss with the Pierce statement desk. With a three inch desktop, mahogany stained American Oak finish, and silver accent details, style will exude from your office. The Pierce desk also includes a small sliding pencil drawer inside the desktop, a leather writing pad, and two port holes for monitor and phone cables. The return features a 20.5"" keyboard tray and CPU storage. As an added bonus, the Pierce ships with a matching rolling locking filing cabinet with 2 storage drawers for ultimate flexibility in setup.Writing Pad Width: 28"" Rolling Filing Cabinet: 23.75"" High x 16"" Wide x 19.75"" DeepDesktop Thickness: 3"" Keyboard Tray Width: 20.5""",,19c6,http://www.zurifurniture.com/common/images/products/large/pierce_rightreturn_1.jpg,,http://www.zurifurniture.com/office/pierce-desk,2048,Furniture > Office Furniture > Desks,Pierce Polished Mahogany Modern Desk with Storage - Right Return,7.00118E+11,,OfficeProducts,Wood,Right Return,Contemporary,,,,,,,,19,in stock,7.00118E+11,Furniture > Office Furniture > Desks,"modern, contemporary, mid-century, unique",,,,,,,,,,,71,36,30,71,451,,Pierce Desk - Mahogany,,,Zuri Furniture,US:::0.00 USD,"Wood, Veneer","http://www.zurifurniture.com/common/images/products/large/pierce_rightreturn_2.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_rightreturn_3.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_rightreturn_4.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_rightreturn_5.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_desk_detail.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_desk_detail_1.jpg,http://www.zurifurniture.com/common/images/products/large/pierce_desk_dimension_zuri_new.jpg","Overall: W 70.75"" x D 82.5"" x H 29.5""","Rolling Filing Cabinet: W 16"" x D 19.75"" x H 23.75""",Mahogany Stained American Oak Veneer,"Pencil Drawer, Leather Writing Pad and Wire Management Ports on Main Desk",Keyboard Tray and CPU Tower Storage on Return,12900761,,Desks,Stocked,in stock,11,Furniture > Office Furniture > Desks,2275,,,,124|95|119|2356|3050|90|2355|2360|2390|3070|2359,"Wood, Veneer",Red,"Office,Home Office",Red,common/images/products/large/pierce_desk_dimension_zuri_new.jpg,M627
Zuri Furniture,New,"The name says it all. From the sumptuously padded faux leather seat to the sleek brushed stainless steel frame and footrest, Lush combines structure with style. A sturdy circular base with plastic floor guard in addition to a gas lift mechanism to enable height adjustment. Weight capacity of 275 lbs.",,23c59,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-grey-1.jpg,,http://www.zurifurniture.com/bar/lush-bar-stool,191,Furniture > Chairs > Bar Stools,Grey Lush Adjustable Height Swivel Armless Bar Stool,7.4136E+11,Grey,FurnitureAndDecor,Leather,,Contemporary,,,,,,,,23,in stock,7.4136E+11,Furniture > Chairs > Bar Stools,ergonomic padded comfortable seat leather set,modern contemporary mid-century unique funky,air gas lift table counter height deco retro,barstools zuo coaster cushion casual 24 29 30 Inch,high quality stainless steel plastic vinyl metal,,,,,,,17,20,44,17,,,Lush Bar Stool,,,Zuri Furniture,US:::0.00 USD,"Stainless Steel, Leatherette","http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-grey-2.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-grey-3.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-grey-4.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,",Overall: 16 inch(W) x 18 inch(D) x 44 inch(H),Seat: 16 inch(W) x 15 inch(D) x 14 inch(H),"Swivel seat height adjusts from 22.5""-33""",Bar stool features a brushed metal finish and an adjustable seat height to fit any bar.,Additional color swatches available. Please contact showroom for more information.,3733851,,Bar Stools,Stocked,in stock,6.75,Furniture > Chairs > Bar Stools,225,http://www.zurifurniture.com/common/images/products/swatch/lush_new_swatch_bar_2.jpg,,,137|70|2334|2336|2341|2343,"Stainless Steel, Leatherette","Black,Green,Red,White,Brown,Orange,Grey,Cream,Blue,Yellow,Pink,Taupe",Bar,Grey,common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,SY-113
Zuri Furniture,New,"The name says it all. From the sumptuously padded faux leather seat to the sleek brushed stainless steel frame and footrest, Lush combines structure with style. A sturdy circular base with plastic floor guard in addition to a gas lift mechanism to enable height adjustment. Weight capacity of 275 lbs.",,23c60,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-red-1.jpg,,http://www.zurifurniture.com/bar/lush-bar-stool,191,Furniture > Chairs > Bar Stools,Red Lush Adjustable Height Swivel Armless Bar Stool,7.4136E+11,Red,FurnitureAndDecor,Leather,,Contemporary,,,,,,,,23,in stock,7.4136E+11,Furniture > Chairs > Bar Stools,ergonomic padded comfortable seat leather set,modern contemporary mid-century unique funky,air gas lift table counter height deco retro,barstools zuo coaster cushion casual 24 29 30 Inch,high quality stainless steel plastic vinyl metal,,,,,,,17,20,44,17,,,Lush Bar Stool,,,Zuri Furniture,US:::0.00 USD,"Stainless Steel, Leatherette","http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-red-2.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-red-3.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-dimension_new.jpg",Overall: 16 inch(W) x 18 inch(D) x 44 inch(H),Seat: 16 inch(W) x 15 inch(D) x 14 inch(H),"Swivel seat height adjusts from 22.5""-33""",Bar stool features a brushed metal finish and an adjustable seat height to fit any bar.,Additional color swatches available. Please contact showroom for more information.,3733851,,Bar Stools,Stocked,in stock,6.75,Furniture > Chairs > Bar Stools,225,http://www.zurifurniture.com/common/images/products/swatch/lush_new_swatch_bar_2.jpg,,,137|70|2334|2336|2341|2343,"Stainless Steel, Leatherette","Black,Green,Red,White,Brown,Orange,Grey,Cream,Blue,Yellow,Pink,Taupe",Bar,Red,common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,SY-113
Zuri Furniture,New,"The name says it all. From the sumptuously padded faux leather seat to the sleek brushed stainless steel frame and footrest, Lush combines structure with style. A sturdy circular base with plastic floor guard in addition to a gas lift mechanism to enable height adjustment. Weight capacity of 275 lbs.",,23c61,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-black-1.jpg,,http://www.zurifurniture.com/bar/lush-bar-stool,191,Furniture > Chairs > Bar Stools,Black Lush Adjustable Height Swivel Armless Bar Stool,7.27909E+11,Black,FurnitureAndDecor,Leather,,Contemporary,,,,,,,,23,in stock,7.27909E+11,Furniture > Chairs > Bar Stools,ergonomic padded comfortable seat leather set,modern contemporary mid-century unique funky,air gas lift table counter height deco retro,barstools zuo coaster cushion casual 24 29 30 Inch,high quality stainless steel plastic vinyl metal,,,,,,,17,20,44,17,,,Lush Bar Stool,,,Zuri Furniture,US:::0.00 USD,"Stainless Steel, Leatherette","http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-black-3.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-black-4.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-black-5.jpg,http://www.zurifurniture.com/common/images/products/large/black-lush-adjustable-height-swivel-armless-bar-stool-zuri-1.jpg,http://www.zurifurniture.com/common/images/products/large/black-lush-adjustable-height-swivel-armless-bar-stool-zuri-2.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,",Overall: 16 inch(W) x 18 inch(D) x 44 inch(H),Seat: 16 inch(W) x 15 inch(D) x 14 inch(H),"Swivel seat height adjusts from 22.5""-33""",Bar stool features a brushed metal finish and an adjustable seat height to fit any bar.,Additional color swatches available. Please contact showroom for more information.,3733851,,Bar Stools,Stocked,in stock,6.75,Furniture > Chairs > Bar Stools,225,http://www.zurifurniture.com/common/images/products/swatch/lush_new_swatch_bar_2.jpg,,,137|70|2334|2336|2341|2343,"Stainless Steel, Leatherette","Black,Green,Red,White,Brown,Orange,Grey,Cream,Blue,Yellow,Pink,Taupe",Bar,Black,common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,SY-113
Zuri Furniture,New,"The name says it all. From the sumptuously padded faux leather seat to the sleek brushed stainless steel frame and footrest, Lush combines structure with style. A sturdy circular base with plastic floor guard in addition to a gas lift mechanism to enable height adjustment. Weight capacity of 275 lbs.",,23c62,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-lime-green-1.jpg,,http://www.zurifurniture.com/bar/lush-bar-stool,191,Furniture > Chairs > Bar Stools,Lime Green Lush Adjustable Height Swivel Armless Bar Stool,7.4136E+11,Lime Green,FurnitureAndDecor,Leather,,Contemporary,,,,,,,,23,in stock,7.4136E+11,Furniture > Chairs > Bar Stools,ergonomic padded comfortable seat leather set,modern contemporary mid-century unique funky,air gas lift table counter height deco retro,barstools zuo coaster cushion casual 24 29 30 Inch,high quality stainless steel plastic vinyl metal,,,,,,,17,20,44,17,,,Lush Bar Stool,,,Zuri Furniture,US:::0.00 USD,"Stainless Steel, Leatherette","http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-lime-green-3.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-lime-green-4.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-dimension_new.jpg",Overall: 16 inch(W) x 18 inch(D) x 44 inch(H),Seat: 16 inch(W) x 15 inch(D) x 14 inch(H),"Swivel seat height adjusts from 22.5""-33""",Bar stool features a brushed metal finish and an adjustable seat height to fit any bar.,Additional color swatches available. Please contact showroom for more information.,3733851,,Bar Stools,Stocked,in stock,6.75,Furniture > Chairs > Bar Stools,225,http://www.zurifurniture.com/common/images/products/swatch/lush_new_swatch_bar_2.jpg,,,137|70|2334|2336|2341|2343,"Stainless Steel, Leatherette","Black,Green,Red,White,Brown,Orange,Grey,Cream,Blue,Yellow,Pink,Taupe",Bar,Green,common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,SY-113
Zuri Furniture,New,"The name says it all. From the sumptuously padded faux leather seat to the sleek brushed stainless steel frame and footrest, Lush combines structure with style. A sturdy circular base with plastic floor guard in addition to a gas lift mechanism to enable height adjustment. Weight capacity of 275 lbs.",,23c63,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-brown-1.jpg,,http://www.zurifurniture.com/bar/lush-bar-stool,191,Furniture > Chairs > Bar Stools,Brown Lush Adjustable Height Swivel Armless Bar Stool,7.4136E+11,Brown,FurnitureAndDecor,Leather,,Contemporary,,,,,,,,23,in stock,7.4136E+11,Furniture > Chairs > Bar Stools,ergonomic padded comfortable seat leather set,modern contemporary mid-century unique funky,air gas lift table counter height deco retro,barstools zuo coaster cushion casual 24 29 30 Inch,high quality stainless steel plastic vinyl metal,,,,,,,17,20,44,17,,,Lush Bar Stool,,,Zuri Furniture,US:::0.00 USD,"Stainless Steel, Leatherette","http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-brown-2.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-brown-3.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-brown-4.jpg,http://www.zurifurniture.com/common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,",Overall: 16 inch(W) x 18 inch(D) x 44 inch(H),Seat: 16 inch(W) x 15 inch(D) x 14 inch(H),"Swivel seat height adjusts from 22.5""-33""",Bar stool features a brushed metal finish and an adjustable seat height to fit any bar.,Additional color swatches available. Please contact showroom for more information.,3733851,,Bar Stools,Stocked,in stock,6.75,Furniture > Chairs > Bar Stools,225,http://www.zurifurniture.com/common/images/products/swatch/lush_new_swatch_bar_2.jpg,,,137|70|2334|2336|2341|2343,"Stainless Steel, Leatherette","Black,Green,Red,White,Brown,Orange,Grey,Cream,Blue,Yellow,Pink,Taupe",Bar,Brown,common/images/products/large/lush_barstool-roundbase-dimension_new.jpg,SY-113
